day,route_id,stop_name,hour,boarding_count,alighting_count,occupancy,crowd_level
1,33,Panchasheel Square,6,8,6,2,LOW
1,33,Rahate Colony,6,3,9,0,LOW
1,33,Ajni Square,6,4,8,0,LOW
1,33,Chatrapati Square,6,3,7,0,LOW
1,33,Ujjwal Nagar,6,9,6,3,LOW
1,33,Airport,6,7,3,7,LOW
1,33,Chinchbhavan,6,8,4,11,LOW
1,33,Khapri,6,8,9,10,LOW
1,33,Ashokwan,6,4,6,8,LOW
1,33,Mohgaon,6,7,5,10,LOW
1,33,Butibori,6,4,6,8,LOW
1,61,Burdi,7,23,6,17,MEDIUM
1,61,Panchasheel Square,7,9,14,12,LOW
1,61,Rahate Colony,7,20,4,28,MEDIUM
1,61,Ajni Square,7,14,13,29,MEDIUM
1,61,Chatrapati Square,7,14,15,28,MEDIUM
1,61,Ujjwal Nagar,7,18,5,41,HIGH
1,61,Airport,7,6,8,39,HIGH
1,61,Chinchbhavan,7,9,11,37,HIGH
1,61,Khapri,7,10,10,37,HIGH
1,61,Ashokwan,7,13,9,41,HIGH
1,61,Mohgaon,7,12,9,44,HIGH
1,61,Butibori,7,15,6,50,HIGH
1,45,Burdi,7,19,3,16,MEDIUM
1,45,Panchasheel Square,7,10,11,15,MEDIUM
1,45,Rahate Colony,7,16,5,26,MEDIUM
1,45,Ajni Square,7,12,14,24,MEDIUM
1,45,Chatrapati Square,7,10,18,16,MEDIUM
1,45,Ujjwal Nagar,7,19,3,32,MEDIUM
1,45,Airport,7,6,10,28,MEDIUM
1,45,Chinchbhavan,7,17,10,35,HIGH
1,45,Khapri,7,10,9,36,HIGH
1,45,Ashokwan,7,16,9,43,HIGH
1,45,Mohgaon,7,12,7,48,HIGH
1,45,Butibori,7,12,6,50,HIGH
1,33,Burdi,7,22,6,16,MEDIUM
1,33,Panchasheel Square,7,8,15,9,LOW
1,33,Rahate Colony,7,21,5,25,MEDIUM
1,33,Ajni Square,7,13,19,19,MEDIUM
1,33,Chatrapati Square,7,13,18,14,LOW
1,33,Ujjwal Nagar,7,20,3,31,MEDIUM
1,33,Airport,7,9,13,27,MEDIUM
1,33,Chinchbhavan,7,17,7,37,HIGH
1,33,Khapri,7,9,5,41,HIGH
1,33,Ashokwan,7,10,11,40,HIGH
1,33,Mohgaon,7,12,9,43,HIGH
1,33,Butibori,7,16,5,50,HIGH
1,61,Burdi,8,24,6,18,MEDIUM
1,61,Panchasheel Square,8,10,10,18,MEDIUM
1,61,Rahate Colony,8,17,5,30,MEDIUM
1,61,Ajni Square,8,14,19,25,MEDIUM
1,61,Chatrapati Square,8,13,12,26,MEDIUM
1,61,Ujjwal Nagar,8,21,3,44,HIGH
1,61,Airport,8,10,8,46,HIGH
1,61,Chinchbhavan,8,16,8,50,HIGH
1,61,Khapri,8,14,10,50,HIGH
1,61,Ashokwan,8,12,9,50,HIGH
1,61,Mohgaon,8,8,10,48,HIGH
1,61,Butibori,8,11,7,50,HIGH
1,45,Burdi,8,15,4,11,LOW
1,45,Panchasheel Square,8,12,16,7,LOW
1,45,Rahate Colony,8,17,4,20,MEDIUM
1,45,Ajni Square,8,9,16,13,LOW
1,45,Chatrapati Square,8,10,16,7,LOW
1,45,Ujjwal Nagar,8,24,7,24,MEDIUM
1,45,Airport,8,10,13,21,MEDIUM
1,45,Chinchbhavan,8,8,8,21,MEDIUM
1,45,Khapri,8,10,5,26,MEDIUM
1,45,Ashokwan,8,12,5,33,MEDIUM
1,45,Mohgaon,8,9,5,37,HIGH
1,45,Butibori,8,8,11,34,MEDIUM
1,33,Burdi,8,15,6,9,LOW
1,33,Panchasheel Square,8,9,12,6,LOW
1,33,Rahate Colony,8,22,5,23,MEDIUM
1,33,Ajni Square,8,14,13,24,MEDIUM
1,33,Chatrapati Square,8,13,10,27,MEDIUM
1,33,Ujjwal Nagar,8,15,4,38,HIGH
1,33,Airport,8,11,10,39,HIGH
1,33,Chinchbhavan,8,16,6,49,HIGH
1,33,Khapri,8,10,6,50,HIGH
1,33,Ashokwan,8,17,7,50,HIGH
1,33,Mohgaon,8,9,10,49,HIGH
1,33,Butibori,8,17,10,50,HIGH
1,61,Burdi,9,21,7,14,LOW
1,61,Panchasheel Square,9,10,11,13,LOW
1,61,Rahate Colony,9,19,6,26,MEDIUM
1,61,Ajni Square,9,10,10,26,MEDIUM
1,61,Chatrapati Square,9,13,12,27,MEDIUM
1,61,Ujjwal Nagar,9,19,5,41,HIGH
1,61,Airport,9,6,8,39,HIGH
1,61,Chinchbhavan,9,14,6,47,HIGH
1,61,Khapri,9,12,5,50,HIGH
1,61,Ashokwan,9,17,11,50,HIGH
1,61,Mohgaon,9,12,10,50,HIGH
1,61,Butibori,9,13,10,50,HIGH
1,45,Burdi,9,19,3,16,MEDIUM
1,45,Panchasheel Square,9,11,16,11,LOW
1,45,Rahate Colony,9,21,4,28,MEDIUM
1,45,Ajni Square,9,11,12,27,MEDIUM
1,45,Chatrapati Square,9,12,14,25,MEDIUM
1,45,Ujjwal Nagar,9,19,6,38,HIGH
1,45,Airport,9,10,8,40,HIGH
1,45,Chinchbhavan,9,10,5,45,HIGH
1,45,Khapri,9,12,10,47,HIGH
1,45,Ashokwan,9,16,10,50,HIGH
1,45,Mohgaon,9,15,11,50,HIGH
1,45,Butibori,9,8,5,50,HIGH
1,33,Burdi,9,19,5,14,LOW
1,33,Panchasheel Square,9,13,12,15,MEDIUM
1,33,Rahate Colony,9,20,5,30,MEDIUM
1,33,Ajni Square,9,14,12,32,MEDIUM
1,33,Chatrapati Square,9,9,15,26,MEDIUM
1,33,Ujjwal Nagar,9,18,3,41,HIGH
1,33,Airport,9,10,10,41,HIGH
1,33,Chinchbhavan,9,12,10,43,HIGH
1,33,Khapri,9,12,10,45,HIGH
1,33,Ashokwan,9,14,7,50,HIGH
1,33,Mohgaon,9,14,11,50,HIGH
1,33,Butibori,9,13,10,50,HIGH
1,61,Burdi,10,16,5,11,LOW
1,61,Panchasheel Square,10,9,10,10,LOW
1,61,Rahate Colony,10,18,7,21,MEDIUM
1,61,Ajni Square,10,12,14,19,MEDIUM
1,61,Chatrapati Square,10,8,12,15,MEDIUM
1,61,Ujjwal Nagar,10,16,3,28,MEDIUM
1,61,Airport,10,6,12,22,MEDIUM
1,61,Chinchbhavan,10,10,10,22,MEDIUM
1,61,Khapri,10,11,9,24,MEDIUM
1,61,Ashokwan,10,13,9,28,MEDIUM
1,61,Mohgaon,10,8,10,26,MEDIUM
1,61,Butibori,10,9,8,27,MEDIUM
1,45,Burdi,10,24,6,18,MEDIUM
1,45,Panchasheel Square,10,10,10,18,MEDIUM
1,45,Rahate Colony,10,20,6,32,MEDIUM
1,45,Ajni Square,10,10,14,28,MEDIUM
1,45,Chatrapati Square,10,10,11,27,MEDIUM
1,45,Ujjwal Nagar,10,21,6,42,HIGH
1,45,Airport,10,5,12,35,HIGH
1,45,Chinchbhavan,10,8,7,36,HIGH
1,45,Khapri,10,16,9,43,HIGH
1,45,Ashokwan,10,14,10,47,HIGH
1,45,Mohgaon,10,12,8,50,HIGH
1,45,Butibori,10,10,11,49,HIGH
1,33,Burdi,10,18,6,12,LOW
1,33,Panchasheel Square,10,10,14,8,LOW
1,33,Rahate Colony,10,21,6,23,MEDIUM
1,33,Ajni Square,10,13,10,26,MEDIUM
1,33,Chatrapati Square,10,9,12,23,MEDIUM
1,33,Ujjwal Nagar,10,24,4,43,HIGH
1,33,Airport,10,11,13,41,HIGH
1,33,Chinchbhavan,10,11,11,41,HIGH
1,33,Khapri,10,9,8,42,HIGH
1,33,Ashokwan,10,12,9,45,HIGH
1,33,Mohgaon,10,12,8,49,HIGH
1,33,Butibori,10,11,5,50,HIGH
1,61,Burdi,11,8,7,1,LOW
1,61,Panchasheel Square,11,5,9,0,LOW
1,61,Rahate Colony,11,8,8,0,LOW
1,61,Ajni Square,11,8,4,4,LOW
1,61,Chatrapati Square,11,7,9,2,LOW
1,61,Ujjwal Nagar,11,7,7,2,LOW
1,61,Airport,11,3,6,0,LOW
1,61,Chinchbhavan,11,4,4,0,LOW
1,61,Khapri,11,5,6,0,LOW
1,61,Ashokwan,11,6,3,3,LOW
1,61,Mohgaon,11,9,9,3,LOW
1,61,Butibori,11,3,5,1,LOW
1,45,Burdi,11,3,3,0,LOW
1,45,Panchasheel Square,11,4,7,0,LOW
1,45,Rahate Colony,11,6,7,0,LOW
1,45,Ajni Square,11,4,6,0,LOW
1,45,Chatrapati Square,11,3,8,0,LOW
1,45,Ujjwal Nagar,11,5,3,2,LOW
1,45,Airport,11,7,4,5,LOW
1,45,Chinchbhavan,11,7,6,6,LOW
1,45,Khapri,11,4,6,4,LOW
1,45,Ashokwan,11,8,8,4,LOW
1,45,Mohgaon,11,9,8,5,LOW
1,45,Butibori,11,9,9,5,LOW
1,33,Burdi,11,9,9,0,LOW
1,33,Panchasheel Square,11,8,7,1,LOW
1,33,Rahate Colony,11,8,6,3,LOW
1,33,Ajni Square,11,3,5,1,LOW
1,33,Chatrapati Square,11,8,9,0,LOW
1,33,Ujjwal Nagar,11,8,3,5,LOW
1,33,Airport,11,3,3,5,LOW
1,33,Chinchbhavan,11,9,6,8,LOW
1,33,Khapri,11,9,8,9,LOW
1,33,Ashokwan,11,3,6,6,LOW
1,33,Mohgaon,11,4,7,3,LOW
1,33,Butibori,11,9,8,4,LOW
1,61,Burdi,12,6,5,1,LOW
1,61,Panchasheel Square,12,7,5,3,LOW
1,61,Rahate Colony,12,9,3,9,LOW
1,61,Ajni Square,12,3,6,6,LOW
1,61,Chatrapati Square,12,3,7,2,LOW
1,61,Ujjwal Nagar,12,5,9,0,LOW
1,61,Airport,12,8,5,3,LOW
1,61,Chinchbhavan,12,4,9,0,LOW
1,61,Khapri,12,7,8,0,LOW
1,61,Ashokwan,12,8,5,3,LOW
1,61,Mohgaon,12,7,5,5,LOW
1,61,Butibori,12,8,5,8,LOW
1,45,Burdi,12,6,5,1,LOW
1,45,Panchasheel Square,12,5,4,2,LOW
1,45,Rahate Colony,12,9,5,6,LOW
1,45,Ajni Square,12,7,5,8,LOW
1,45,Chatrapati Square,12,7,8,7,LOW
1,45,Ujjwal Nagar,12,5,3,9,LOW
1,45,Airport,12,4,9,4,LOW
1,45,Chinchbhavan,12,5,3,6,LOW
1,45,Khapri,12,5,9,2,LOW
1,45,Ashokwan,12,8,8,2,LOW
1,45,Mohgaon,12,8,3,7,LOW
1,45,Butibori,12,6,4,9,LOW
1,33,Burdi,12,5,9,0,LOW
1,33,Panchasheel Square,12,5,4,1,LOW
1,33,Rahate Colony,12,3,4,0,LOW
1,33,Ajni Square,12,5,6,0,LOW
1,33,Chatrapati Square,12,7,8,0,LOW
1,33,Ujjwal Nagar,12,5,6,0,LOW
1,33,Airport,12,9,8,1,LOW
1,33,Chinchbhavan,12,5,8,0,LOW
1,33,Khapri,12,6,5,1,LOW
1,33,Ashokwan,12,5,9,0,LOW
1,33,Mohgaon,12,6,3,3,LOW
1,33,Butibori,12,5,6,2,LOW
1,61,Burdi,13,3,9,0,LOW
1,61,Panchasheel Square,13,8,6,2,LOW
1,61,Rahate Colony,13,8,3,7,LOW
1,61,Ajni Square,13,4,4,7,LOW
1,61,Chatrapati Square,13,7,7,7,LOW
1,61,Ujjwal Nagar,13,4,8,3,LOW
1,61,Airport,13,9,9,3,LOW
1,61,Chinchbhavan,13,3,9,0,LOW
1,61,Khapri,13,6,7,0,LOW
1,61,Ashokwan,13,5,8,0,LOW
1,61,Mohgaon,13,3,4,0,LOW
1,61,Butibori,13,6,8,0,LOW
1,45,Burdi,13,3,4,0,LOW
1,45,Panchasheel Square,13,4,3,1,LOW
1,45,Rahate Colony,13,7,5,3,LOW
1,45,Ajni Square,13,8,9,2,LOW
1,45,Chatrapati Square,13,7,8,1,LOW
1,45,Ujjwal Nagar,13,7,3,5,LOW
1,45,Airport,13,6,6,5,LOW
1,45,Chinchbhavan,13,7,3,9,LOW
1,45,Khapri,13,7,4,12,LOW
1,45,Ashokwan,13,5,5,12,LOW
1,45,Mohgaon,13,5,5,12,LOW
1,45,Butibori,13,6,5,13,LOW
1,33,Burdi,13,4,6,0,LOW
1,33,Panchasheel Square,13,7,5,2,LOW
1,33,Rahate Colony,13,4,6,0,LOW
1,33,Ajni Square,13,4,7,0,LOW
1,33,Chatrapati Square,13,9,5,4,LOW
1,33,Ujjwal Nagar,13,8,9,3,LOW
1,33,Airport,13,9,6,6,LOW
1,33,Chinchbhavan,13,8,5,9,LOW
1,33,Khapri,13,6,6,9,LOW
1,33,Ashokwan,13,5,7,7,LOW
1,33,Mohgaon,13,4,4,7,LOW
1,33,Butibori,13,5,7,5,LOW
1,61,Burdi,14,3,4,0,LOW
1,61,Panchasheel Square,14,5,5,0,LOW
1,61,Rahate Colony,14,8,8,0,LOW
1,61,Ajni Square,14,6,3,3,LOW
1,61,Chatrapati Square,14,8,7,4,LOW
1,61,Ujjwal Nagar,14,6,5,5,LOW
1,61,Airport,14,9,6,8,LOW
1,61,Chinchbhavan,14,3,4,7,LOW
1,61,Khapri,14,8,4,11,LOW
1,61,Ashokwan,14,8,7,12,LOW
1,61,Mohgaon,14,8,7,13,LOW
1,61,Butibori,14,8,8,13,LOW
1,45,Burdi,14,4,6,0,LOW
1,45,Panchasheel Square,14,4,3,1,LOW
1,45,Rahate Colony,14,7,3,5,LOW
1,45,Ajni Square,14,8,5,8,LOW
1,45,Chatrapati Square,14,8,9,7,LOW
1,45,Ujjwal Nagar,14,7,4,10,LOW
1,45,Airport,14,5,7,8,LOW
1,45,Chinchbhavan,14,4,8,4,LOW
1,45,Khapri,14,3,7,0,LOW
1,45,Ashokwan,14,6,7,0,LOW
1,45,Mohgaon,14,7,4,3,LOW
1,45,Butibori,14,6,6,3,LOW
1,33,Burdi,14,7,4,3,LOW
1,33,Panchasheel Square,14,4,4,3,LOW
1,33,Rahate Colony,14,7,8,2,LOW
1,33,Ajni Square,14,7,7,2,LOW
1,33,Chatrapati Square,14,3,7,0,LOW
1,33,Ujjwal Nagar,14,3,3,0,LOW
1,33,Airport,14,3,4,0,LOW
1,33,Chinchbhavan,14,7,9,0,LOW
1,33,Khapri,14,5,3,2,LOW
1,33,Ashokwan,14,7,6,3,LOW
1,33,Mohgaon,14,9,8,4,LOW
1,33,Butibori,14,6,7,3,LOW
1,61,Burdi,15,5,9,0,LOW
1,61,Panchasheel Square,15,9,7,2,LOW
1,61,Rahate Colony,15,5,8,0,LOW
1,61,Ajni Square,15,8,7,1,LOW
1,61,Chatrapati Square,15,3,6,0,LOW
1,61,Ujjwal Nagar,15,6,6,0,LOW
1,61,Airport,15,5,4,1,LOW
1,61,Chinchbhavan,15,4,6,0,LOW
1,61,Khapri,15,8,9,0,LOW
1,61,Ashokwan,15,7,3,4,LOW
1,61,Mohgaon,15,3,6,1,LOW
1,61,Butibori,15,9,5,5,LOW
1,45,Burdi,15,3,9,0,LOW
1,45,Panchasheel Square,15,7,4,3,LOW
1,45,Rahate Colony,15,6,7,2,LOW
1,45,Ajni Square,15,3,7,0,LOW
1,45,Chatrapati Square,15,3,9,0,LOW
1,45,Ujjwal Nagar,15,3,9,0,LOW
1,45,Airport,15,5,8,0,LOW
1,45,Chinchbhavan,15,4,5,0,LOW
1,45,Khapri,15,7,3,4,LOW
1,45,Ashokwan,15,3,5,2,LOW
1,45,Mohgaon,15,4,7,0,LOW
1,45,Butibori,15,9,8,1,LOW
1,33,Burdi,15,6,8,0,LOW
1,33,Panchasheel Square,15,3,4,0,LOW
1,33,Rahate Colony,15,4,7,0,LOW
1,33,Ajni Square,15,7,9,0,LOW
1,33,Chatrapati Square,15,3,6,0,LOW
1,33,Ujjwal Nagar,15,4,6,0,LOW
1,33,Airport,15,6,3,3,LOW
1,33,Chinchbhavan,15,3,6,0,LOW
1,33,Khapri,15,5,4,1,LOW
1,33,Ashokwan,15,8,9,0,LOW
1,33,Mohgaon,15,9,4,5,LOW
1,33,Butibori,15,9,5,9,LOW
1,61,Burdi,16,9,7,2,LOW
1,61,Panchasheel Square,16,6,9,0,LOW
1,61,Rahate Colony,16,4,4,0,LOW
1,61,Ajni Square,16,9,3,6,LOW
1,61,Chatrapati Square,16,5,7,4,LOW
1,61,Ujjwal Nagar,16,6,4,6,LOW
1,61,Airport,16,5,3,8,LOW
1,61,Chinchbhavan,16,5,4,9,LOW
1,61,Khapri,16,3,9,3,LOW
1,61,Ashokwan,16,7,3,7,LOW
1,61,Mohgaon,16,9,9,7,LOW
1,61,Butibori,16,3,9,1,LOW
1,45,Burdi,16,8,8,0,LOW
1,45,Panchasheel Square,16,5,7,0,LOW
1,45,Rahate Colony,16,8,4,4,LOW
1,45,Ajni Square,16,4,3,5,LOW
1,45,Chatrapati Square,16,8,3,10,LOW
1,45,Ujjwal Nagar,16,4,9,5,LOW
1,45,Airport,16,8,3,10,LOW
1,45,Chinchbhavan,16,5,3,12,LOW
1,45,Khapri,16,8,6,14,LOW
1,45,Ashokwan,16,4,5,13,LOW
1,45,Mohgaon,16,4,4,13,LOW
1,45,Butibori,16,5,5,13,LOW
1,33,Burdi,16,8,7,1,LOW
1,33,Panchasheel Square,16,8,8,1,LOW
1,33,Rahate Colony,16,5,8,0,LOW
1,33,Ajni Square,16,7,8,0,LOW
1,33,Chatrapati Square,16,4,4,0,LOW
1,33,Ujjwal Nagar,16,9,5,4,LOW
1,33,Airport,16,9,9,4,LOW
1,33,Chinchbhavan,16,3,6,1,LOW
1,33,Khapri,16,4,5,0,LOW
1,33,Ashokwan,16,6,8,0,LOW
1,33,Mohgaon,16,8,5,3,LOW
1,33,Butibori,16,7,3,7,LOW
1,61,Burdi,17,4,16,0,LOW
1,61,Panchasheel Square,17,15,12,3,LOW
1,61,Rahate Colony,17,6,19,0,LOW
1,61,Ajni Square,17,14,10,4,LOW
1,61,Chatrapati Square,17,13,12,5,LOW
1,61,Ujjwal Nagar,17,7,18,0,LOW
1,61,Airport,17,9,8,1,LOW
1,61,Chinchbhavan,17,7,15,0,LOW
1,61,Khapri,17,8,12,0,LOW
1,61,Ashokwan,17,11,17,0,LOW
1,61,Mohgaon,17,6,10,0,LOW
1,61,Butibori,17,6,14,0,LOW
1,45,Burdi,17,3,24,0,LOW
1,45,Panchasheel Square,17,12,11,1,LOW
1,45,Rahate Colony,17,4,21,0,LOW
1,45,Ajni Square,17,18,9,9,LOW
1,45,Chatrapati Square,17,13,9,13,LOW
1,45,Ujjwal Nagar,17,3,19,0,LOW
1,45,Airport,17,11,6,5,LOW
1,45,Chinchbhavan,17,9,9,5,LOW
1,45,Khapri,17,8,17,0,LOW
1,45,Ashokwan,17,9,12,0,LOW
1,45,Mohgaon,17,6,9,0,LOW
1,45,Butibori,17,6,12,0,LOW
1,33,Burdi,17,3,19,0,LOW
1,33,Panchasheel Square,17,12,11,1,LOW
1,33,Rahate Colony,17,3,16,0,LOW
1,33,Ajni Square,17,12,10,2,LOW
1,33,Chatrapati Square,17,19,12,9,LOW
1,33,Ujjwal Nagar,17,5,23,0,LOW
1,33,Airport,17,8,9,0,LOW
1,33,Chinchbhavan,17,7,10,0,LOW
1,33,Khapri,17,8,11,0,LOW
1,33,Ashokwan,17,9,10,0,LOW
1,33,Mohgaon,17,9,8,1,LOW
1,33,Butibori,17,5,12,0,LOW
1,61,Burdi,18,4,17,0,LOW
1,61,Panchasheel Square,18,16,13,3,LOW
1,61,Rahate Colony,18,7,15,0,LOW
1,61,Ajni Square,18,16,10,6,LOW
1,61,Chatrapati Square,18,17,13,10,LOW
1,61,Ujjwal Nagar,18,3,22,0,LOW
1,61,Airport,18,9,6,3,LOW
1,61,Chinchbhavan,18,6,16,0,LOW
1,61,Khapri,18,11,17,0,LOW
1,61,Ashokwan,18,9,10,0,LOW
1,61,Mohgaon,18,11,17,0,LOW
1,61,Butibori,18,8,10,0,LOW
1,45,Burdi,18,6,19,0,LOW
1,45,Panchasheel Square,18,11,11,0,LOW
1,45,Rahate Colony,18,4,18,0,LOW
1,45,Ajni Square,18,19,8,11,LOW
1,45,Chatrapati Square,18,13,12,12,LOW
1,45,Ujjwal Nagar,18,5,17,0,LOW
1,45,Airport,18,14,6,8,LOW
1,45,Chinchbhavan,18,5,12,1,LOW
1,45,Khapri,18,11,14,0,LOW
1,45,Ashokwan,18,10,8,2,LOW
1,45,Mohgaon,18,6,17,0,LOW
1,45,Butibori,18,6,17,0,LOW
1,33,Burdi,18,4,24,0,LOW
1,33,Panchasheel Square,18,11,11,0,LOW
1,33,Rahate Colony,18,3,17,0,LOW
1,33,Ajni Square,18,19,14,5,LOW
1,33,Chatrapati Square,18,19,10,14,LOW
1,33,Ujjwal Nagar,18,7,15,6,LOW
1,33,Airport,18,9,6,9,LOW
1,33,Chinchbhavan,18,7,15,1,LOW
1,33,Khapri,18,8,10,0,LOW
1,33,Ashokwan,18,9,10,0,LOW
1,33,Mohgaon,18,6,16,0,LOW
1,33,Butibori,18,6,12,0,LOW
1,61,Burdi,19,4,22,0,LOW
1,61,Panchasheel Square,19,19,10,9,LOW
1,61,Rahate Colony,19,6,24,0,LOW
1,61,Ajni Square,19,10,13,0,LOW
1,61,Chatrapati Square,19,10,14,0,LOW
1,61,Ujjwal Nagar,19,3,19,0,LOW
1,61,Airport,19,10,11,0,LOW
1,61,Chinchbhavan,19,6,11,0,LOW
1,61,Khapri,19,11,17,0,LOW
1,61,Ashokwan,19,7,10,0,LOW
1,61,Mohgaon,19,10,9,1,LOW
1,61,Butibori,19,11,17,0,LOW
1,45,Burdi,19,4,18,0,LOW
1,45,Panchasheel Square,19,11,9,2,LOW
1,45,Rahate Colony,19,3,15,0,LOW
1,45,Ajni Square,19,11,9,2,LOW
1,45,Chatrapati Square,19,10,12,0,LOW
1,45,Ujjwal Nagar,19,7,16,0,LOW
1,45,Airport,19,8,5,3,LOW
1,45,Chinchbhavan,19,8,10,1,LOW
1,45,Khapri,19,11,16,0,LOW
1,45,Ashokwan,19,9,16,0,LOW
1,45,Mohgaon,19,6,9,0,LOW
1,45,Butibori,19,8,17,0,LOW
1,33,Burdi,19,4,15,0,LOW
1,33,Panchasheel Square,19,18,8,10,LOW
1,33,Rahate Colony,19,6,18,0,LOW
1,33,Ajni Square,19,15,8,7,LOW
1,33,Chatrapati Square,19,17,11,13,LOW
1,33,Ujjwal Nagar,19,3,20,0,LOW
1,33,Airport,19,11,8,3,LOW
1,33,Chinchbhavan,19,10,8,5,LOW
1,33,Khapri,19,11,10,6,LOW
1,33,Ashokwan,19,8,17,0,LOW
1,33,Mohgaon,19,6,14,0,LOW
1,33,Butibori,19,10,12,0,LOW
1,61,Burdi,20,7,24,0,LOW
1,61,Panchasheel Square,20,15,10,5,LOW
1,61,Rahate Colony,20,5,20,0,LOW
1,61,Ajni Square,20,19,14,5,LOW
1,61,Chatrapati Square,20,15,11,9,LOW
1,61,Ujjwal Nagar,20,7,17,0,LOW
1,61,Airport,20,10,5,5,LOW
1,61,Chinchbhavan,20,11,16,0,LOW
1,61,Khapri,20,6,14,0,LOW
1,61,Ashokwan,20,9,11,0,LOW
1,61,Mohgaon,20,11,8,3,LOW
1,61,Butibori,20,9,9,3,LOW
1,45,Burdi,20,7,17,0,LOW
1,45,Panchasheel Square,20,16,14,2,LOW
1,45,Rahate Colony,20,7,23,0,LOW
1,45,Ajni Square,20,13,8,5,LOW
1,45,Chatrapati Square,20,17,11,11,LOW
1,45,Ujjwal Nagar,20,7,18,0,LOW
1,45,Airport,20,12,10,2,LOW
1,45,Chinchbhavan,20,11,16,0,LOW
1,45,Khapri,20,7,16,0,LOW
1,45,Ashokwan,20,9,13,0,LOW
1,45,Mohgaon,20,7,8,0,LOW
1,45,Butibori,20,10,9,1,LOW
1,33,Burdi,20,4,15,0,LOW
1,33,Panchasheel Square,20,11,8,3,LOW
1,33,Rahate Colony,20,5,24,0,LOW
1,33,Ajni Square,20,15,10,5,LOW
1,33,Chatrapati Square,20,18,10,13,LOW
1,33,Ujjwal Nagar,20,5,16,2,LOW
1,33,Airport,20,11,8,5,LOW
1,33,Chinchbhavan,20,10,9,6,LOW
1,33,Khapri,20,6,8,4,LOW
1,33,Ashokwan,20,5,14,0,LOW
1,33,Mohgaon,20,6,11,0,LOW
1,33,Butibori,20,8,12,0,LOW
1,61,Burdi,21,3,5,0,LOW
1,61,Panchasheel Square,21,8,4,4,LOW
1,61,Rahate Colony,21,9,7,6,LOW
1,61,Ajni Square,21,5,5,6,LOW
1,61,Chatrapati Square,21,8,3,11,LOW
1,61,Ujjwal Nagar,21,7,7,11,LOW
1,61,Airport,21,6,5,12,LOW
1,61,Chinchbhavan,21,4,4,12,LOW
1,61,Khapri,21,4,5,11,LOW
1,61,Ashokwan,21,6,3,14,LOW
1,61,Mohgaon,21,5,5,14,LOW
1,61,Butibori,21,4,6,12,LOW
1,45,Burdi,21,7,7,0,LOW
